Part Value                               Device                              Package                                         Description                    
C1                                       CAP0805                             0805                                            Capacitor                      
C2                                       CAP0805                             0805                                            Capacitor                      
D1                                       DIODE-DO-214AC                      DO-214AC                                        Various Diode Packages         
D2                                       DIODE-DO-214AC                      DO-214AC                                        Various Diode Packages         
FET1                                     HEADER-1X2ROUND                     1X02_ROUND                                      PIN HEADER                     
FET2                                     HEADER-1X2ROUND                     1X02_ROUND                                      PIN HEADER                     
JP1                                      HEADER-1X15                         1X15_ROUND_70                                   1x15 Header                    
JP2                                      HEADER-1X15                         1X15_ROUND_70                                   1x15 Header                    
JP3                                      PINHD-2X4                           2X04                                            PIN HEADER                     
JP4                                      PINHD-2X4                           2X04                                            PIN HEADER                     
JP6                                      HEADER-1X2ROUND                     1X02_ROUND                                      PIN HEADER                     
Q1                                       MOSFET-NWAVE                        SOT23-W                                         N-Channel Mosfet               
Q2                                       MOSFET-NWAVE                        SOT23-W                                         N-Channel Mosfet               
R1                                       RESISTOR0805-RES                    0805                                            Resistor                       
R2                                       RESISTOR0805-RES                    0805                                            Resistor                       
R3                                       RESISTOR0805-RES                    0805                                            Resistor                       
R4                                       RESISTOR0805-RES                    0805                                            Resistor                       
SJ1  JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX                                
SW1                                      SWITCH_SPST                         SPST_SMT_19192                                  Switch - SPST                  
U$2  NRF24                               NRF24                               NRF24-2X4                                                                      
U2                                       VREG_SOT23SOT23_WIDE                SOT23-WIDE                                      SOT23 Fixed Voltage Regulators 
